idsubsls,kecamatan,desa,nama_sls,dominan,keluarga_awal,usaha_awal,keluarga_prelist,umkm_keluarga,st2023,umk,um,usaha_lain,umk_um,usaha_final,total_usaha_final,level_geografis,is_prioritas
2105020004000400,JEMAJA TIMUR,GENTING PULUR,RT 4 RW 2 DUSUN 2,1,35,3,36,0,21,0,0,3,0,3,24,sls,TRUE
2105020004200100,JEMAJA TIMUR,GENTING PULUR,HUTAN,11,0,0,1,0,0,2,0,0,2,2,2,sls,TRUE
2105020004200200,JEMAJA TIMUR,GENTING PULUR,HUTAN,11,0,0,0,0,0,0,0,0,0,0,0,sls,TRUE
2105020004200300,JEMAJA TIMUR,GENTING PULUR,HUTAN,11,0,0,0,0,0,0,0,0,0,0,0,sls,TRUE
2105030001000100,SIANTAN SELATAN,KIABU,RT 001 RW 001 DUSUN I,1,32,7,37,0,29,0,0,7,0,7,36,sls,TRUE
2105030001000200,SIANTAN SELATAN,KIABU,RT 002 RW 001 DUSUN I,1,19,6,19,0,12,0,0,6,0,6,18,sls,TRUE
2105030001000300,SIANTAN SELATAN,KIABU,RT 003 RW 002 DUSUN I,1,18,7,15,0,15,1,0,7,1,7,22,sls,TRUE
2105030001000400,SIANTAN SELATAN,KIABU,RT 004 RW 002 DUSUN I,1,24,5,22,0,12,0,0,5,0,5,17,sls,TRUE
2105030001000500,SIANTAN SELATAN,KIABU,RT 005 RW 003 DUSUN II,1,29,10,23,0,17,2,0,10,2,10,27,sls,TRUE
2105030001000600,SIANTAN SELATAN,KIABU,RT 006 RW 003 DUSUN II,1,23,5,21,0,22,3,0,5,3,5,27,sls,TRUE
2105030001000700,SIANTAN SELATAN,KIABU,RT 007 RW 004 DUSUN II,1,27,10,22,0,28,0,0,10,0,10,38,sls,TRUE
2105030001000800,SIANTAN SELATAN,KIABU,RT 008 RW 004 DUSUN II,1,39,13,34,0,43,0,0,13,0,13,56,sls,TRUE
2105030001200100,SIANTAN SELATAN,KIABU,HUTAN,11,0,0,0,0,0,0,0,0,0,0,0,sls,TRUE
2105030002000100,SIANTAN SELATAN,TELAGA,RT 01 TANJUNG KUSUN RW 01 TELUK KELIMPAN DUSUN 2,1,24,2,18,0,16,0,0,2,0,2,18,sls,TRUE
2105030002000200,SIANTAN SELATAN,TELAGA,RT 02 TANJUNG KUSUN RW 01 TELUK KELIMPAN DUSUN 2,1,16,2,24,0,21,0,0,2,0,2,23,sls,TRUE
2105030002000300,SIANTAN SELATAN,TELAGA,RT 03 TANJUNG KUSUN RW 01 TELUK KELIMPAN DUSUN 2,1,21,2,1,0,0,0,0,2,0,2,2,sls,TRUE
2105030002000400,SIANTAN SELATAN,TELAGA,RT 01 PASIR PANJANG RW 01 PASIR PAJANG DUSUN 1,1,25,0,27,0,14,1,0,0,1,1,15,sls,TRUE
2105030002000500,SIANTAN SELATAN,TELAGA,RT 02 PASIR PAJANG RW 01 PASIR PAJANG DUSUN 1,1,25,9,19,0,11,1,0,9,1,9,20,sls,TRUE
2105030002000600,SIANTAN SELATAN,TELAGA,RT 03 PASIR PAJANG RW 01 PASIR PAJANG DUSUN 1,1,16,9,16,0,22,0,0,9,0,9,31,sls,TRUE
2105030002200100,SIANTAN SELATAN,TELAGA,HUTAN,11,0,0,2,0,3,0,0,0,0,0,3,sls,TRUE
2105030003000100,SIANTAN SELATAN,MENGKAIT,RT 001 RW 001 DUSUN 1,1,26,1,25,0,33,1,0,1,1,1,34,sls,TRUE
2105030003000200,SIANTAN SELATAN,MENGKAIT,RT 002 RW 001 DUSUN 1,1,56,4,43,0,30,0,0,4,0,4,34,sls,TRUE
2105030003000300,SIANTAN SELATAN,MENGKAIT,RT 003 RW 002 DUSUN 1,1,30,3,32,0,19,1,0,3,1,3,22,sls,TRUE
2105030003000400,SIANTAN SELATAN,MENGKAIT,RT 004 RW 002 DUSUN 1,1,34,4,32,0,22,0,0,4,0,4,26,sls,TRUE
2105030003000500,SIANTAN SELATAN,MENGKAIT,RT 005 RW 003 DUSUN 2,1,20,0,15,0,12,1,0,0,1,1,13,sls,TRUE
2105030003000600,SIANTAN SELATAN,MENGKAIT,RT 006 RW 003 DUSUN 2,1,30,7,25,0,21,0,0,7,0,7,28,sls,TRUE
2105030003000700,SIANTAN SELATAN,MENGKAIT,RT 007 RW 004 DUSUN 2,1,39,1,14,0,22,1,0,1,1,1,23,sls,TRUE
2105030003000800,SIANTAN SELATAN,MENGKAIT,RT 008 RW 004 DUSUN 2,1,39,4,35,0,38,1,0,4,1,4,42,sls,TRUE
2105030003000900,SIANTAN SELATAN,MENGKAIT,RT 009 RW 003 DUSUN 2,1,20,15,36,0,31,0,0,15,0,15,46,sls,TRUE
2105030003200100,SIANTAN SELATAN,MENGKAIT,HUTAN,11,0,0,0,0,0,0,0,0,0,0,0,sls,TRUE
2105030004000100,SIANTAN SELATAN,TIANGAU,RT 1 RW 1 DUSUN 1,1,44,5,44,0,44,1,0,5,1,5,49,sls,TRUE
2105030004000200,SIANTAN SELATAN,TIANGAU,RT 2 RW 1 DUSUN 1,1,26,2,28,0,26,0,0,2,0,2,28,sls,TRUE
2105030004000300,SIANTAN SELATAN,TIANGAU,RT 1 RW 2 DUSUN 1,1,29,2,29,0,36,3,0,2,3,3,39,sls,TRUE
2105030004000400,SIANTAN SELATAN,TIANGAU,RT 2 RW 2 DUSUN 1,1,43,13,40,0,37,5,0,13,5,13,50,sls,TRUE
2105030004000500,SIANTAN SELATAN,TIANGAU,RT 1 RW 1 DUSUN 2,1,23,1,20,0,17,3,0,1,3,3,20,sls,TRUE
2105030004000600,SIANTAN SELATAN,TIANGAU,RT 2 RW 1 DUSUN 2,1,17,2,16,0,15,3,0,2,3,3,18,sls,TRUE
2105030004000700,SIANTAN SELATAN,TIANGAU,RT 1 RW 2 DUSUN 2,1,18,3,16,0,13,0,0,3,0,3,16,sls,TRUE
2105030004000800,SIANTAN SELATAN,TIANGAU,RT 2 RW 2 DUSUN 2,1,9,0,11,0,12,1,0,0,1,1,13,sls,TRUE
2105030004200100,SIANTAN SELATAN,TIANGAU,HUTAN,11,0,0,0,0,0,0,0,0,0,0,0,sls,TRUE
2105030005000100,SIANTAN SELATAN,TELAGA KECIL,RT 001 RW 001 DUSUN 1,1,22,6,21,0,16,0,0,6,0,6,22,sls,TRUE
2105030005000200,SIANTAN SELATAN,TELAGA KECIL,RT 002 RW 001 DUSUN 1,1,20,3,21,0,18,0,0,3,0,3,21,sls,TRUE
2105030005000300,SIANTAN SELATAN,TELAGA KECIL,RT 003 RW 002 DUSUN 2,1,25,2,23,0,28,2,0,2,2,2,30,sls,TRUE
2105030005000400,SIANTAN SELATAN,TELAGA KECIL,RT 004 RW 002 DUSUN 2,1,12,2,16,0,4,0,0,2,0,2,6,sls,TRUE
2105030005200100,SIANTAN SELATAN,TELAGA KECIL,HUTAN,11,0,0,0,0,0,0,0,0,0,0,0,sls,TRUE
2105030006000100,SIANTAN SELATAN,LINGAI,RT 1 RW 1 DUSUN 1,1,20,2,18,0,15,1,0,2,1,2,17,sls,TRUE
2105030006000200,SIANTAN SELATAN,LINGAI,RT 2 RW 1 DUSUN 1,1,19,3,30,0,21,2,0,3,2,3,24,sls,TRUE
2105030006000300,SIANTAN SELATAN,LINGAI,RT 3 RW 1 DUSUN 1,1,26,4,26,0,10,1,0,4,1,4,14,sls,TRUE
2105030006000400,SIANTAN SELATAN,LINGAI,RT 4 RW 2 DUSUN 2,1,20,1,19,0,16,1,0,1,1,1,17,sls,TRUE
2105030006200100,SIANTAN SELATAN,LINGAI,HUTAN,11,0,0,0,0,0,0,0,0,0,0,0,sls,TRUE
2105030007000100,SIANTAN SELATAN,AIR BINI,RT 1 RW 1 DUSUN 1,1,15,1,22,0,18,4,0,1,4,4,22,sls,TRUE
2105030007000200,SIANTAN SELATAN,AIR BINI,RT 2 RW 1 DUSUN 1,1,30,0,6,0,3,2,0,0,2,2,5,sls,TRUE
2105030007000300,SIANTAN SELATAN,AIR BINI,RT 3 RW 1 DUSUN 1,1,18,3,20,0,24,3,0,3,3,3,27,sls,TRUE
2105030007000600,SIANTAN SELATAN,AIR BINI,RT 1 RW 3 DUSUN 2,1,37,3,39,0,20,9,0,3,9,9,29,sls,TRUE
2105030007000700,SIANTAN SELATAN,AIR BINI,RT 2 RW 3 DUSUN 2,1,11,6,15,0,5,8,0,6,8,8,13,sls,TRUE
2105030007000800,SIANTAN SELATAN,AIR BINI,RT 1 RW 2 DUSUN 2,1,30,10,37,0,25,8,0,10,8,10,35,sls,TRUE
2105030007000900,SIANTAN SELATAN,AIR BINI,RT 2 RW 2 DUSUN 2,1,48,10,38,0,44,12,0,10,12,12,56,sls,TRUE
2105030007200100,SIANTAN SELATAN,AIR BINI,HUTAN,11,0,0,0,0,0,1,0,0,1,1,1,sls,TRUE
2105040003000100,SIANTAN,TAREMPA BARAT,RT 1 RW 02 KP. MELAYU DUSUN 1,1,75,30,76,0,10,40,0,30,40,40,50,sls,TRUE
2105040003000200,SIANTAN,TAREMPA BARAT,RT 2 RW 02 KP. MELAYU DUSUN 1,1,47,4,42,0,3,9,0,4,9,9,12,sls,TRUE
2105040003000300,SIANTAN,TAREMPA BARAT,RT 1 RW 01 BAKAR BATU DUSUN 1,1,57,26,60,0,2,13,0,26,13,26,28,sls,TRUE
2105040003000400,SIANTAN,TAREMPA BARAT,RT 2 RW 01 BAKAR BATU DUSUN 1,1,39,14,41,0,5,31,0,14,31,31,36,sls,TRUE
2105040003000500,SIANTAN,TAREMPA BARAT,RT 1 PELANTAR SERKAH RW 01 A.YANI DUSUN 1,1,46,102,28,0,3,38,0,102,38,102,105,sls,TRUE
2105040003000600,SIANTAN,TAREMPA BARAT,RT 2 RW 01 A.YANI DUSUN 1,1,46,26,34,0,4,17,0,26,17,26,30,sls,TRUE
2105040003000700,SIANTAN,TAREMPA BARAT,RT 3 RW 01 A.YANI DUSUN 1,1,22,16,64,0,0,27,1,16,28,28,28,sls,TRUE
2105040003000800,SIANTAN,TAREMPA BARAT,RT 1 RW 02 A.YANI DARAT DUSUN 2,1,65,28,74,0,9,24,0,28,24,28,37,sls,TRUE
2105040003000900,SIANTAN,TAREMPA BARAT,RT 2 RW 02 A.YANI LAUT DUSUN 2,1,70,84,55,0,2,17,0,84,17,84,86,sls,TRUE
2105040003001000,SIANTAN,TAREMPA BARAT,RT 1 RW 01 TANJUNG DUSUN 2,1,36,114,28,0,1,31,0,114,31,114,115,sls,TRUE
2105040003001100,SIANTAN,TAREMPA BARAT,RT 2 RW 01 TANJUNG DUSUN 2,1,31,13,33,0,0,24,0,13,24,24,24,sls,TRUE
2105040003001200,SIANTAN,TAREMPA BARAT,RT 3 RW 01 TANJUNG DUSUN 2,1,42,13,44,0,2,11,2,13,13,13,15,sls,TRUE
2105040003001300,SIANTAN,TAREMPA BARAT,RT 1 RW 02 TANJUNG DUSUN 2,1,34,13,43,0,6,16,1,13,17,17,23,sls,TRUE
